VDS	ID	VGB
4.33102e+00	1.25778e-10	2.00007e+00
4.34138e+00	1.26876e-10	2.00008e+00
4.35134e+00	1.27852e-10	2.00007e+00
4.36127e+00	1.28775e-10	2.00007e+00
4.37115e+00	1.29622e-10	2.00007e+00
4.38105e+00	1.30574e-10	2.00007e+00
4.39135e+00	1.31719e-10	2.00007e+00
4.40128e+00	1.32690e-10	2.00007e+00
4.41118e+00	1.33670e-10	2.00007e+00
4.42117e+00	1.34650e-10	2.00006e+00
4.43113e+00	1.35618e-10	2.00007e+00
4.44138e+00	1.36730e-10	2.00007e+00
4.45127e+00	1.37729e-10	2.00007e+00
4.46123e+00	1.38810e-10	2.00007e+00
4.47114e+00	1.39770e-10	2.00007e+00
4.48102e+00	1.40658e-10	2.00008e+00
4.49130e+00	1.41593e-10	2.00008e+00
4.50125e+00	1.42569e-10	2.00008e+00
4.51120e+00	1.43668e-10	2.00008e+00
4.52117e+00	1.44668e-10	2.00008e+00
4.53112e+00	1.45618e-10	2.00008e+00
4.54132e+00	1.46860e-10	2.00008e+00
4.55127e+00	1.47981e-10	2.00008e+00
4.56123e+00	1.49089e-10	2.00008e+00
4.57114e+00	1.50195e-10	2.00007e+00
4.58105e+00	1.51245e-10	2.00007e+00
4.59135e+00	1.52517e-10	2.00007e+00
4.60127e+00	1.53601e-10	2.00007e+00
4.61120e+00	1.54719e-10	2.00006e+00
4.62111e+00	1.55778e-10	2.00006e+00
4.63107e+00	1.56903e-10	2.00007e+00
4.64134e+00	1.58060e-10	2.00007e+00
4.65122e+00	1.58947e-10	2.00007e+00
4.66117e+00	1.60020e-10	2.00006e+00
4.67111e+00	1.61127e-10	2.00007e+00
4.68140e+00	1.62488e-10	2.00007e+00
4.69137e+00	1.63625e-10	2.00007e+00
4.70121e+00	1.64739e-10	2.00008e+00
4.71114e+00	1.65918e-10	2.00007e+00
4.72109e+00	1.67080e-10	2.00008e+00
4.73135e+00	1.68443e-10	2.00007e+00
4.74125e+00	1.69535e-10	2.00007e+00
4.75127e+00	1.70659e-10	2.00007e+00
4.76119e+00	1.71784e-10	2.00007e+00
4.77116e+00	1.73021e-10	2.00007e+00
4.78144e+00	1.74307e-10	2.00007e+00
4.79136e+00	1.75616e-10	2.00007e+00
4.80130e+00	1.76728e-10	2.00007e+00
4.81126e+00	1.77675e-10	2.00007e+00
4.82115e+00	1.78926e-10	2.00007e+00
4.83141e+00	1.80488e-10	2.00007e+00
4.84135e+00	1.81760e-10	2.00007e+00
4.85131e+00	1.83063e-10	2.00007e+00
4.86122e+00	1.84436e-10	2.00007e+00
4.87117e+00	1.85873e-10	2.00007e+00
4.88145e+00	1.87362e-10	2.00008e+00
4.89140e+00	1.88698e-10	2.00008e+00
4.90137e+00	1.89994e-10	2.00007e+00
4.91123e+00	1.91369e-10	2.00007e+00
4.92118e+00	1.92811e-10	2.00007e+00
4.93144e+00	1.94368e-10	2.00007e+00
4.94135e+00	1.95780e-10	2.00007e+00
4.95129e+00	1.97241e-10	2.00007e+00
4.96123e+00	1.98425e-10	2.00007e+00
4.97115e+00	1.99567e-10	2.00006e+00
4.98142e+00	2.01233e-10	2.00006e+00
4.99136e+00	2.02703e-10	2.00007e+00
5.00128e+00	2.04138e-10	2.00006e+00
2.70367e-05	-3.39842e-12	3.00127e+00
1.00901e-02	-3.11732e-13	3.00125e+00
2.00944e-02	3.68357e-13	3.00132e+00
3.00967e-02	9.64403e-13	3.00128e+00
4.01012e-02	1.57595e-12	3.00126e+00
5.01021e-02	2.20799e-12	3.00131e+00
6.00962e-02	2.80678e-12	3.00133e+00
7.01061e-02	3.43823e-12	3.00136e+00
8.01000e-02	4.08351e-12	3.00131e+00
9.01027e-02	4.71270e-12	3.00129e+00
1.00106e-01	5.31912e-12	3.00129e+00
1.10095e-01	5.94079e-12	3.00132e+00
1.20090e-01	6.56867e-12	3.00133e+00
1.30102e-01	7.16925e-12	3.00128e+00
1.40106e-01	7.79080e-12	3.00128e+00
