VGB	ID	VDS
2.41031e+00	1.55577e-05	1.05114e-02
2.42057e+00	1.56695e-05	1.05121e-02
2.43049e+00	1.57817e-05	1.05120e-02
2.44041e+00	1.58940e-05	1.05144e-02
2.45035e+00	1.60051e-05	1.05142e-02
2.46028e+00	1.61131e-05	1.05128e-02
2.47022e+00	1.62248e-05	1.05125e-02
2.48047e+00	1.63346e-05	1.05124e-02
2.49041e+00	1.64448e-05	1.05141e-02
2.50033e+00	1.65519e-05	1.05111e-02
2.51026e+00	1.66556e-05	1.05113e-02
2.52019e+00	1.67645e-05	1.05116e-02
2.53047e+00	1.68775e-05	1.05123e-02
2.54042e+00	1.69835e-05	1.05106e-02
2.55035e+00	1.70869e-05	1.05094e-02
2.56027e+00	1.71913e-05	1.05109e-02
2.57023e+00	1.73019e-05	1.05087e-02
2.58049e+00	1.74092e-05	1.05087e-02
2.59041e+00	1.75134e-05	1.05105e-02
2.60032e+00	1.76184e-05	1.05105e-02
2.61027e+00	1.77250e-05	1.05084e-02
2.62026e+00	1.78316e-05	1.05080e-02
2.63050e+00	1.79383e-05	1.05104e-02
2.64041e+00	1.80444e-05	1.05095e-02
2.65035e+00	1.81488e-05	1.05101e-02
2.66030e+00	1.82488e-05	1.05098e-02
2.67024e+00	1.83559e-05	1.05099e-02
2.68049e+00	1.84572e-05	1.05085e-02
2.69042e+00	1.85580e-05	1.05094e-02
2.70038e+00	1.86597e-05	1.05075e-02
2.71030e+00	1.87652e-05	1.05078e-02
2.72026e+00	1.88625e-05	1.05075e-02
2.73049e+00	1.89704e-05	1.05075e-02
2.74042e+00	1.90694e-05	1.05080e-02
2.75036e+00	1.91707e-05	1.05089e-02
2.76028e+00	1.92713e-05	1.05059e-02
